LFS1046,460727,166186,0.0385366
LFS1049,8654629,1447155,0.317246
LFS1076,2125462,446342,0.10142
LFS1099,12343747,1740455,0.386601
LFS1100,38072598,4430465,0.974785
LFS1102,34479810,4071045,0.893289
LFS1104,22858976,3016235,0.661924
LFS1108,18404399,2230432,0.496781
LFS1113,363815,82950,0.018879
LFS1114,29977,8993,0.00212304
LFS1131,1213428,239129,0.0543497
LFS1302,1339828,289966,0.0648992
LFS1340,6261055,975373,0.219734
LFS1341,71253607,7634749,1.65424
LFS1344,254814,81243,0.0187941
LFS1345,3818240,563566,0.128002
LFS1348,9878587,1431786,0.319852
LFS1349,28006764,3316974,0.733595
LFS1350,13451625,1904179,0.4194
LFS1351,67480491,7545879,1.63682
LFS1352,15361966,2049171,0.452097
LFS1353,16899759,2280974,0.501783
LFS1354,5469188,858241,0.190882
LFS1355,26426670,3382598,0.73893
LFS1356,4285995,686619,0.152982
LFS1357,13816473,2051829,0.45234
LFS1358,904683,174254,0.039533
LFS1359,24764218,3302259,0.721966
LFS1360,12760443,2021052,0.44616
LFS1361,1961497,404480,0.0903394
LFS1362,7894874,1273446,0.282444
LFS1363,1003878,233616,0.053105
LFS1364,460778,108533,0.0246633
LFS1365,132163,34980,0.00821475
LFS1366,147543,41785,0.00972129
LFS1378,5531364,1128832,0.254862
LFS1379,7834276,1469175,0.331001
LFS1380,1887311,430135,0.0978538
LFS1381,1983143,367640,0.0830385
LFS1382,16908117,2376732,0.519869
LFS1384,14325550,2074682,0.452682
LFS365,0,0,
LFS371,1496,1004,0.000244174
LFS378,7934579,1258455,0.286772
LFS380,883439,221999,0.0497781
LFS385,62202,18633,0.00434491
LFS387,218334,63571,0.0147394
LFS388,45213,16003,0.0037296
LFS390,992188,241607,0.0548453
LFS391,19796,11295,0.00265119
LFS392,2062730,445673,0.101332
LFS393,273220,80200,0.0183801
LFS394,17876,11939,0.00279589
LFS396,8474,4544,0.00108003
LFS398,5938,3597,0.000867379
LFS399,80595,27085,0.00631566
LFS412,10598,3410,0.000794697
LFS417,424599,102170,0.0233255
LFS421,24832,8218,0.00190945
LFS427,1371801,323360,0.0734341
LFS428,415607,198397,0.044762
LFS430,310227,77683,0.0170675
LFS431,105246,63795,0.0149756
LFS432,919420,265152,0.0596696
LFS433,31796095,3549758,0.783377
LFS434,140978,100216,0.02368
LFS435,221395,112014,0.0261798
LFS450,299042,89717,0.0203352
LFS470,3012445,557025,0.126111
LFS540,3317456,597566,0.131373
LFS561,32608608,4448833,0.96756
LFS909,19309535,2498516,0.551795
LFS946,1804569,360769,0.0822172
LFS962,36762024,4326180,0.945985
